Block,Treatment,Direction,Sample #,Upper,Lower,Root % N,Root % C,Rhizome % N,Rhizome % C,Fertilizer
4,Miscanthus,West,,100,+,0.36,31.81,,,56 kg/ha
0,Prairie,East,1,0,10,0.83,35.78,,,None
0,Prairie,East,1,10,30,0.63,36.70,,,None
0,Prairie,East,1,30,50,0.68,40.21,,,None
0,Prairie,East,1,50,100,0.63,40.59,,,None
0,Prairie,East,1,100,+,0.74,39.42,,,None
0,Prairie,East,2,0,10,0.73,40.22,,,None
0,Prairie,East,2,10,30,0.54,34.00,,,None
0,Prairie,East,2,30,50,0.52,37.51,,,None
0,Prairie,East,2,50,100,0.25,31.56,,,None
0,Prairie,East,2,100,+,0.63,37.31,,,None
0,Prairie,North,1,0,10,0.81,41.26,,,None
0,Prairie,North,1,10,30,0.73,39.25,,,None
0,Prairie,North,1,30,50,0.65,32.98,,,None
0,Prairie,North,1,50,100,0.72,38.98,,,None
0,Prairie,North,1,100,+,0.21,25.97,,,None
0,Prairie,North,2,0,10,1.29,39.89,,,None
0,Prairie,North,2,10,30,0.99,38.69,,,None
0,Prairie,North,2,30,50,0.82,32.95,,,None
0,Prairie,North,2,50,100,0.86,36.17,,,None
0,Prairie,North,2,100,+,Not enough ground material for CN analysis,,,,None
0,Prairie,South,1,0,10,0.59,38.23,,,None
0,Prairie,South,1,10,30,0.56,38.93,,,None
0,Prairie,South,1,30,50,0.51,36.11,,,None
0,Prairie,South,1,50,100,0.21,35.99,,,None
0,Prairie,South,1,100,+,0.22,31.37,,,None
0,Prairie,South,2,0,10,0.54,42.91,,,None
0,Prairie,South,2,10,30,0.64,30.42,,,None
0,Prairie,South,2,30,50,0.37,34.03,,,None
0,Prairie,South,2,50,100,0.50,39.33,,,None
0,Prairie,South,2,100,+,0.42,24.66,,,None
0,Prairie,West,1,0,10,0.71,41.30,,,None
0,Prairie,West,1,10,30,0.67,36.15,,,None
0,Prairie,West,1,30,50,0.48,38.24,,,None
0,Prairie,West,1,50,100,0.53,37.56,,,None
0,Prairie,West,1,100,+,0.27,34.80,,,None
0,Prairie,West,2,0,10,0.92,42.36,,,None
0,Prairie,West,2,10,30,0.68,37.45,,,None
0,Prairie,West,2,30,50,0.57,34.93,,,None
0,Prairie,West,2,50,100,0.56,40.30,,,None
0,Prairie,West,2,100,+,0.68,33.34,,,None
1,Prairie,East,,0,10,0.56,43.00,,,None
1,Prairie,East,,10,30,0.41,36.12,,,None
1,Prairie,East,,30,50,0.37,31.81,,,None
1,Prairie,East,,50,100,0.24,37.70,,,None
1,Prairie,East,,100,+,No core below 1 meter,,,,None
1,Prairie,North,,0,10,0.85,39.77,,,None
1,Prairie,North,,10,30,0.34,25.75,,,None
1,Prairie,North,,30,50,0.37,31.58,,,None
1,Prairie,North,,50,100,0.44,37.00,,,None
1,Prairie,North,,100,+,0.24,40.82,,,None
1,Prairie,South,,0,10,0.49,37.14,,,None
1,Prairie,South,,10,30,0.41,31.39,,,None
1,Prairie,South,,30,50,0.41,34.75,,,None
1,Prairie,South,,50,100,0.22,32.43,,,None
1,Prairie,South,,100,+,1.00,40.81,,,None
1,Prairie,West,,0,10,0.59,42.29,,,None
1,Prairie,West,,10,30,0.46,37.98,,,None
1,Prairie,West,,30,50,0.25,38.26,,,None
1,Prairie,West,,50,100,0.40,36.38,,,None
1,Prairie,West,,100,+,0.44,38.65,,,None
2,Prairie,East,,0,10,0.88,34.14,,,None
2,Prairie,East,,10,30,0.72,34.74,,,None
2,Prairie,East,,30,50,0.59,35.42,,,None
2,Prairie,East,,50,100,0.54,37.52,,,None
2,Prairie,East,,100,+,0.62,39.10,,,None
2,Prairie,North,,0,10,0.73,41.31,,,None
2,Prairie,North,,10,30,0.45,33.57,,,None
2,Prairie,North,,30,50,0.19,27.90,,,None
2,Prairie,North,,50,100,0.36,32.67,,,None
2,Prairie,North,,100,+,0.23,35.64,,,None
2,Prairie,South,,0,10,0.53,37.44,,,None
2,Prairie,South,,10,30,0.57,33.90,,,None
2,Prairie,South,,30,50,0.37,28.58,,,None
2,Prairie,South,,50,100,0.18,30.30,,,None
2,Prairie,South,,100,+,0.22,38.03,,,None
2,Prairie,West,,0,10,0.58,41.22,,,None
2,Prairie,West,,10,30,0.50,39.69,,,None
2,Prairie,West,,30,50,0.41,34.99,,,None
2,Prairie,West,,50,100,0.21,34.64,,,None
2,Prairie,West,,100,+,0.69,37.93,,,None
3,Prairie,East,,0,10,0.59,43.65,,,None
3,Prairie,East,,10,30,0.49,36.47,,,None
3,Prairie,East,,30,50,0.60,37.61,,,None
3,Prairie,East,,50,100,0.47,31.28,,,None
3,Prairie,East,,100,+,0.70,40.80,,,None
3,Prairie,North,,0,10,0.74,40.39,,,None
3,Prairie,North,,10,30,0.46,34.52,,,None
3,Prairie,North,,30,50,0.45,29.37,,,None
3,Prairie,North,,50,100,0.20,35.81,,,None
3,Prairie,North,,100,+,0.43,33.10,,,None
3,Prairie,South,,0,10,0.83,36.50,,,None
3,Prairie,South,,10,30,0.98,31.76,,,None
3,Prairie,South,,30,50,0.65,36.71,,,None
3,Prairie,South,,50,100,0.52,35.07,,,None
3,Prairie,South,,100,+,0.90,36.35,,,None
3,Prairie,West,,0,10,0.47,41.60,,,None
3,Prairie,West,,10,30,1.00,38.22,,,None
3,Prairie,West,,30,50,0.53,38.80,,,None
3,Prairie,West,,50,100,0.48,36.25,,,None
3,Prairie,West,,100,+,0.16,29.13,,,None
4,Prairie,East,,0,10,0.57,41.58,,,None
4,Prairie,East,,10,30,0.52,37.42,,,None
4,Prairie,East,,30,50,0.37,41.03,,,None
4,Prairie,East,,50,100,0.23,35.49,,,None
4,Prairie,East,,100,+,0.77,38.38,,,None
4,Prairie,North,,0,10,0.52,39.60,,,None
4,Prairie,North,,10,30,0.50,34.40,,,None
4,Prairie,North,,30,50,0.52,40.21,,,None
4,Prairie,North,,50,100,0.48,35.23,,,None
4,Prairie,North,,100,+,0.64,40.05,,,None
4,Prairie,South,,0,10,0.77,39.31,,,None
4,Prairie,South,,10,30,0.59,40.06,,,None
4,Prairie,South,,30,50,0.52,37.91,,,None
4,Prairie,South,,50,100,0.71,39.55,,,None
4,Prairie,South,,100,+,0.62,35.01,,,None
4,Prairie,West,,0,10,0.48,41.99,,,None
4,Prairie,West,,10,30,0.56,35.60,,,None
4,Prairie,West,,30,50,0.34,36.16,,,None
4,Prairie,West,,50,100,0.41,34.07,,,None
4,Prairie,West,,100,+,0.55,37.45,,,None
0,Switchgrass,East,1,0,10,0.55,45.00,0.66,46.08,56 kg/ha
0,Switchgrass,East,1,10,30,0.65,39.98,,,56 kg/ha
0,Switchgrass,East,1,30,50,0.68,42.72,,,56 kg/ha
0,Switchgrass,East,1,50,100,0.31,40.14,,,56 kg/ha
0,Switchgrass,East,1,100,+,0.42,41.42,,,56 kg/ha
0,Switchgrass,East,2,0,10,0.79,45.22,0.52,48.22,56 kg/ha
0,Switchgrass,East,2,10,30,0.62,39.41,,,56 kg/ha
0,Switchgrass,East,2,30,50,0.42,42.17,,,56 kg/ha
0,Switchgrass,East,2,50,100,0.42,38.27,,,56 kg/ha
0,Switchgrass,East,2,100,+,0.42,39.06,,,56 kg/ha
0,Switchgrass,North,1,0,10,0.80,45.05,0.93,46.21,56 kg/ha
0,Switchgrass,North,1,10,30,0.68,44.43,,,56 kg/ha
0,Switchgrass,North,1,30,50,0.72,38.40,,,56 kg/ha
0,Switchgrass,North,1,50,100,0.52,41.72,,,56 kg/ha
0,Switchgrass,North,1,100,+,0.50,41.47,,,56 kg/ha
0,Switchgrass,North,2,0,10,0.53,42.38,0.79,45.19,56 kg/ha
0,Switchgrass,North,2,10,30,0.53,41.37,,,56 kg/ha
0,Switchgrass,North,2,30,50,0.21,42.09,,,56 kg/ha
0,Switchgrass,North,2,50,100,0.47,41.16,,,56 kg/ha
0,Switchgrass,North,2,100,+,0.52,39.11,,,56 kg/ha
0,Switchgrass,South,1,0,10,0.84,39.80,0.85,45.71,56 kg/ha
0,Switchgrass,South,1,10,30,0.58,44.41,,,56 kg/ha
0,Switchgrass,South,1,30,50,0.97,43.30,,,56 kg/ha
0,Switchgrass,South,1,50,100,0.35,37.15,,,56 kg/ha
0,Switchgrass,South,1,100,+,0.54,40.42,,,56 kg/ha
0,Switchgrass,South,2,0,10,0.90,42.52,0.85,45.35,56 kg/ha
0,Switchgrass,South,2,10,30,0.76,43.04,,,56 kg/ha
0,Switchgrass,South,2,30,50,0.60,43.81,,,56 kg/ha
0,Switchgrass,South,2,50,100,0.52,41.92,,,56 kg/ha
0,Switchgrass,South,2,100,+,0.57,41.95,,,56 kg/ha
0,Switchgrass,West,1,0,10,0.61,45.53,0.68,44.81,56 kg/ha
0,Switchgrass,West,1,10,30,0.67,44.40,,,56 kg/ha
0,Switchgrass,West,1,30,50,0.58,40.35,,,56 kg/ha
0,Switchgrass,West,1,50,100,0.48,40.57,,,56 kg/ha
0,Switchgrass,West,1,100,+,0.50,41.65,,,56 kg/ha
0,Switchgrass,West,2,0,10,0.96,41.73,,,56 kg/ha
0,Switchgrass,West,2,10,30,0.67,37.06,,,56 kg/ha
0,Switchgrass,West,2,30,50,0.71,38.75,,,56 kg/ha
0,Switchgrass,West,2,50,100,0.54,38.82,,,56 kg/ha
0,Switchgrass,West,2,100,+,0.46,37.63,,,56 kg/ha
1,Switchgrass,East,,0,10,0.57,43.51,0.47,45.66,56 kg/ha
1,Switchgrass,East,,10,30,0.38,38.62,,,56 kg/ha
1,Switchgrass,East,,30,50,0.23,41.56,,,56 kg/ha
1,Switchgrass,East,,50,100,0.23,37.37,,,56 kg/ha
1,Switchgrass,East,,100,+,0.35,39.59,,,56 kg/ha
1,Switchgrass,North,,0,10,0.77,42.50,0.65,44.49,56 kg/ha
1,Switchgrass,North,,10,30,0.62,39.28,,,56 kg/ha
1,Switchgrass,North,,30,50,0.45,40.39,,,56 kg/ha
1,Switchgrass,North,,50,100,0.33,35.12,,,56 kg/ha
1,Switchgrass,North,,100,+,0.50,41.26,,,56 kg/ha
1,Switchgrass,South,,0,10,0.49,45.32,0.52,44.43,56 kg/ha
1,Switchgrass,South,,10,30,0.53,42.88,,,56 kg/ha
1,Switchgrass,South,,30,50,0.21,41.40,,,56 kg/ha
1,Switchgrass,South,,50,100,0.46,41.27,,,56 kg/ha
1,Switchgrass,South,,100,+,0.22,42.75,,,56 kg/ha
1,Switchgrass,West,,0,10,0.60,42.81,0.80,46.93,56 kg/ha
1,Switchgrass,West,,10,30,0.58,41.09,,,56 kg/ha
1,Switchgrass,West,,30,50,0.52,40.16,,,56 kg/ha
1,Switchgrass,West,,50,100,0.45,39.22,,,56 kg/ha
1,Switchgrass,West,,100,+,0.44,41.03,,,56 kg/ha
2,Switchgrass,East,,0,10,0.89,37.47,0.76,44.59,56 kg/ha
2,Switchgrass,East,,10,30,0.59,42.53,,,56 kg/ha
2,Switchgrass,East,,30,50,0.52,41.58,,,56 kg/ha
2,Switchgrass,East,,50,100,0.25,40.97,,,56 kg/ha
2,Switchgrass,East,,100,+,0.50,40.35,,,56 kg/ha
2,Switchgrass,North,,0,10,0.64,44.47,0.81,45.38,56 kg/ha
2,Switchgrass,North,,10,30,0.59,42.41,,,56 kg/ha
2,Switchgrass,North,,30,50,0.49,43.13,,,56 kg/ha
2,Switchgrass,North,,50,100,0.46,42.09,,,56 kg/ha
2,Switchgrass,North,,100,+,0.38,41.82,,,56 kg/ha
2,Switchgrass,South,,0,10,0.74,41.94,0.61,44.88,56 kg/ha
2,Switchgrass,South,,10,30,0.59,40.87,,,56 kg/ha
2,Switchgrass,South,,30,50,0.40,41.24,,,56 kg/ha
2,Switchgrass,South,,50,100,0.37,39.97,,,56 kg/ha
2,Switchgrass,South,,100,+,0.54,42.06,,,56 kg/ha
2,Switchgrass,West,,0,10,0.62,43.67,0.52,44.17,56 kg/ha
2,Switchgrass,West,,10,30,0.70,40.52,,,56 kg/ha
2,Switchgrass,West,,30,50,0.55,42.14,,,56 kg/ha
2,Switchgrass,West,,50,100,0.45,38.58,,,56 kg/ha
2,Switchgrass,West,,100,+,0.26,37.67,,,56 kg/ha
3,Switchgrass,East,,0,10,0.86,37.77,0.61,42.84,56 kg/ha
3,Switchgrass,East,,10,30,0.47,42.30,,,56 kg/ha
3,Switchgrass,East,,30,50,0.41,42.20,,,56 kg/ha
3,Switchgrass,East,,50,100,0.32,29.08,,,56 kg/ha
3,Switchgrass,East,,100,+,0.40,38.21,,,56 kg/ha
3,Switchgrass,North,,0,10,0.88,42.35,,,56 kg/ha
3,Switchgrass,North,,10,30,0.41,43.36,,,56 kg/ha
3,Switchgrass,North,,30,50,0.49,43.69,,,56 kg/ha
3,Switchgrass,North,,50,100,0.44,41.11,,,56 kg/ha
3,Switchgrass,North,,100,+,0.48,38.18,,,56 kg/ha
3,Switchgrass,South,,0,10,1.36,40.35,,,56 kg/ha
3,Switchgrass,South,,10,30,0.74,40.29,,,56 kg/ha
3,Switchgrass,South,,30,50,0.47,36.97,,,56 kg/ha
3,Switchgrass,South,,50,100,0.52,39.28,,,56 kg/ha
3,Switchgrass,South,,100,+,0.55,41.94,,,56 kg/ha
3,Switchgrass,West,,0,10,0.64,36.81,0.61,44.86,56 kg/ha
3,Switchgrass,West,,10,30,0.56,43.58,,,56 kg/ha
3,Switchgrass,West,,30,50,0.37,40.64,,,56 kg/ha
3,Switchgrass,West,,50,100,0.41,38.09,,,56 kg/ha
3,Switchgrass,West,,100,+,0.51,41.88,,,56 kg/ha
4,Switchgrass,East,,0,10,0.76,41.04,0.65,44.22,56 kg/ha
4,Switchgrass,East,,10,30,0.45,44.14,,,56 kg/ha
4,Switchgrass,East,,30,50,0.30,38.56,,,56 kg/ha
4,Switchgrass,East,,50,100,0.30,36.69,,,56 kg/ha
4,Switchgrass,East,,100,+,0.50,41.10,,,56 kg/ha
4,Switchgrass,North,,0,10,0.81,40.83,0.71,45.55,56 kg/ha
4,Switchgrass,North,,10,30,0.54,38.70,,,56 kg/ha
4,Switchgrass,North,,30,50,0.49,36.31,,,56 kg/ha
4,Switchgrass,North,,50,100,0.48,38.97,,,56 kg/ha
4,Switchgrass,North,,100,+,0.48,40.74,,,56 kg/ha
4,Switchgrass,South,,0,10,0.60,45.22,0.67,46.78,56 kg/ha
4,Switchgrass,South,,10,30,0.41,39.29,,,56 kg/ha
4,Switchgrass,South,,30,50,0.44,40.90,,,56 kg/ha
4,Switchgrass,South,,50,100,0.39,31.68,,,56 kg/ha
4,Switchgrass,South,,100,+,0.44,39.34,,,56 kg/ha
4,Switchgrass,West,,0,10,0.66,41.24,0.58,43.93,56 kg/ha
4,Switchgrass,West,,10,30,0.58,43.21,,,56 kg/ha
4,Switchgrass,West,,30,50,0.46,41.47,,,56 kg/ha
4,Switchgrass,West,,50,100,0.38,40.08,,,56 kg/ha
4,Switchgrass,West,,100,+,0.43,41.06,,,56 kg/ha
