Crop,Block,Tube number,Label code,Date imaged,Field Tech,Date Analyzed,Lab tech,Calibration image,Bad frames?,Deepest roots,# frames with roots,Notes
Corn,0,1,0C1,2010-10-08,AP,2011-11-03,AP,EF2010_T097_L002_2010.10.08_091343_005_AP,no,,14,
Corn,0,2,0C2,2010-10-08,AP,2011-11-03,AP,EF2010_T097_L002_2010.10.08_091343_005_AP,no,,15,
Corn,0,3,0C3,2010-10-08,AP,2011-11-03,AP,EF2010_T097_L002_2010.10.08_091343_005_AP,no,,14,
Corn,0,4,0C4,2010-10-08,AP,2011-11-03,AP,EF2010_T097_L002_2010.10.08_091343_005_AP,no,,14,
Corn,0,5,0C5,2010-10-08,AP,2011-11-03,AP,EF2010_T097_L002_2010.10.08_091343_005_AP,no,,18,
Corn,0,6,0C6,2010-10-08,AP,2011-11-03,AP,EF2010_T097_L002_2010.10.08_091343_005_AP,no,,12,
Corn,0,7,0C7,2010-10-08,AP,2011-11-03,AP,EF2010_T097_L002_2010.10.08_091343_005_AP,no,,16,
Corn,0,8,0C8,2010-10-08,AP,2011-11-03,AP,EF2010_T097_L002_2010.10.08_091343_005_AP,no,,14,
Corn,1,9,1C1,2010-10-07,AP,2011-05-30,AP,EF2010_T097_L001_2010.10.07_085009_005_AP,no,,5,
Corn,1,10,1C2,2010-10-07,AP,2011-05-30,AP,EF2010_T097_L001_2010.10.07_085009_005_AP,yes,,15,10 is blurry
Corn,1,11,1C3,2010-10-07,AP,2011-05-30,AP,EF2010_T097_L001_2010.10.07_085009_005_AP,no,,13,
Corn,1,12,1C4,2010-10-07,AP,2011-05-30,AP,EF2010_T097_L001_2010.10.07_085009_005_AP,no,,15,
Corn,2,13,2C1,2010-10-07,AP,2011-06-02,AP,EF2010_T097_L001_2010.10.07_085009_005_AP,no,,5,
Corn,2,14,2C2,2010-10-07,AP,2011-06-02,AP,EF2010_T097_L001_2010.10.07_085009_005_AP,yes,,3,5-20 are dark
Corn,2,15,2C3,2010-10-07,AP,2011-06-02,AP,EF2010_T097_L001_2010.10.07_085009_005_AP,no,,12,
Corn,2,16,2C4,2010-10-07,AP,2011-06-02,AP,EF2010_T097_L001_2010.10.07_085009_005_AP,no,,8,
Corn,3,17,3C1,2010-10-08,AP,2011-06-03,AP,EF2010_T097_L002_2010.10.08_091343_005_AP,yes,,10,75 is blurry
Corn,3,18,3C2,2010-10-08,AP,2011-06-03,AP,EF2010_T097_L002_2010.10.08_091343_005_AP,no,,6,
Corn,3,19,3C3,2010-10-08,AP,2011-06-03,AP,EF2010_T097_L002_2010.10.08_091343_005_AP,yes,,14,70 is blurry
Corn,3,20,3C4,2010-10-08,AP,2011-06-03,AP,EF2010_T097_L002_2010.10.08_091343_005_AP,no,,16,
Corn,4,21,4C1,2010-10-08,AP,2011-06-15,AP,EF2010_T097_L002_2010.10.08_091343_005_AP,no,,5,
Corn,4,22,4C1,2010-10-08,AP,2011-06-15,AP,EF2010_T097_L002_2010.10.08_091343_005_AP,no,,15,
Corn,4,23,4C3,2010-10-08,AP,2011-06-15,AP,EF2010_T097_L002_2010.10.08_091343_005_AP,no,,6,
Corn,4,24,4C4,2010-10-08,AP,2011-06-15,AP,EF2010_T097_L002_2010.10.08_091343_005_AP,no,,14,
Miscanthus,0,25,0M1,,,,,,,,,not imaged
Miscanthus,0,26,0M3,,,,,,,,,not imaged
Miscanthus,0,27,0M5,,,,,,,,,not imaged
Miscanthus,0,28,0M6,,,,,,,,,not imaged
Miscanthus,0,29,0M7,,,,,,,,,not imaged
Miscanthus,0,30,0M9,,,,,,,,,not imaged
Miscanthus,0,31,0M10,,,,,,,,,not imaged
Miscanthus,0,32,0M11,,,,,,,,,not imaged
Miscanthus,1,33,1M1,2010-10-07,AP,2011-06-02,AP,EF2010_T097_L001_2010.10.07_085009_005_AP,no,,14,
Miscanthus,1,34,1M2,2010-10-07,AP,2011-06-02,AP,EF2010_T097_L001_2010.10.07_085009_005_AP,no,,14,
Miscanthus,1,35,1M4,2010-10-07,AP,2011-06-02,AP,EF2010_T097_L001_2010.10.07_085009_005_AP,no,,17,
Miscanthus,1,36,1M4,2010-10-07,AP,2011-06-02,AP,EF2010_T097_L001_2010.10.07_085009_005_AP,no,,9,
Miscanthus,2,37,2M1,2010-10-07,AP,2011-05-30,AP,EF2010_T097_L001_2010.10.07_085009_005_AP,no,,11,
Miscanthus,2,38,2M2,2010-10-07,AP,2011-05-30,AP,EF2010_T097_L001_2010.10.07_085009_005_AP,yes,,7,35 is blurry
Miscanthus,2,39,2M3,2010-10-07,AP,2011-06-01,AP,EF2010_T097_L001_2010.10.07_085009_005_AP,no,,12,
Miscanthus,2,40,2M4,2010-10-07,AP,2011-06-01,AP,EF2010_T097_L001_2010.10.07_085009_005_AP,no,,17,
Miscanthus,3,41,3M1,2010-10-14,WAM,2011-06-03,AP,EF2010_T097_L003_2010.10.14_095015_005_WAM,yes,,13,"10,15 is foggy"
Miscanthus,3,42,3M2,2010-10-14,WAM,2011-06-03,AP,EF2010_T097_L003_2010.10.14_095015_005_WAM,no,,11,
Miscanthus,3,43,3M3,2010-10-14,WAM,2011-06-03,AP,EF2010_T097_L003_2010.10.14_095015_005_WAM,no,,11,
Miscanthus,3,44,3M4,2010-10-14,WAM,2011-06-03,AP,EF2010_T097_L003_2010.10.14_095015_005_WAM,no,,6,
Miscanthus,4,45,4M1,2010-10-14,WAM,2011-06-03,AP,EF2010_T097_L003_2010.10.14_095015_005_WAM,no,,10,
Miscanthus,4,46,4M2,2010-10-14,WAM,2011-06-03,AP,EF2010_T097_L003_2010.10.14_095015_005_WAM,no,,12,
Miscanthus,4,47,4M3,2010-10-14,WAM,2011-06-03,AP,EF2010_T097_L003_2010.10.14_095015_005_WAM,no,,15,
Miscanthus,4,48,4M4,2010-10-14,WAM,2011-06-03,AP,EF2010_T097_L003_2010.10.14_095015_005_WAM,no,,16,
Switch,0,49,0S2,2010-10-15,WAM,2011-11-03,AP,EF2010_T097_L004_2010.10.15_133238_005_WAM,no,,18,
Switch,0,50,0S3,2010-10-15,WAM,2011-11-03,AP,EF2010_T097_L004_2010.10.15_133238_005_WAM,no,,18,
Switch,0,51,0S5,2010-10-15,WAM,2011-11-03,AP,EF2010_T097_L004_2010.10.15_133238_005_WAM,no,,12,images only upto 70
Switch,0,52,0S6,2010-10-15,WAM,2011-11-03,AP,EF2010_T097_L004_2010.10.15_133238_005_WAM,no,,17,
Switch,0,53,0S8,2010-10-15,WAM,2011-11-07,AP,EF2010_T097_L004_2010.10.15_133238_005_WAM,no,,17,Marked as Tube 54
Switch,0,54,0S9,2010-10-15,WAM,2011-11-07,AP,EF2010_T097_L004_2010.10.15_133238_005_WAM,no,,12,Marked as Tube 53
Switch,0,55,0S12,2010-10-15,WAM,2011-11-07,AP,EF2010_T097_L004_2010.10.15_133238_005_WAM,no,,19,
Switch,0,56,0S12,2010-10-15,WAM,2011-11-07,AP,EF2010_T097_L004_2010.10.15_133238_005_WAM,no,,14,
Switch,1,57,1S1,2010-10-07,AP,2011-05-30,AP,EF2010_T097_L001_2010.10.07_085009_005_AP,yes,,16,Images from L15 are in B&W
Switch,1,58,1S2,2010-10-07,AP,2011-05-30,AP,EF2010_T097_L001_2010.10.07_085009_005_AP,yes,,16,65 is blurry
Switch,1,59,1S3,2010-10-07,AP,2011-05-30,AP,EF2010_T097_L001_2010.10.07_085009_005_AP,yes,,6,10 is blurry
Switch,1,60,1S4,2010-10-07,AP,2011-05-30,AP,EF2010_T097_L001_2010.10.07_085009_005_AP,no,,8,
Switch,2,61,2S1,2010-10-07,AP,2011-05-30,AP,EF2010_T097_L001_2010.10.07_085009_005_AP,no,,5,
Switch,2,62,2S2,2010-10-07,AP,2011-05-30,AP,EF2010_T097_L001_2010.10.07_085009_005_AP,no,,9,
Switch,2,63,2S3,2010-10-07,AP,2011-05-30,AP,EF2010_T097_L001_2010.10.07_085009_005_AP,no,,12,
Switch,2,64,2S4,2010-10-07,AP,2011-05-30,AP,EF2010_T097_L001_2010.10.07_085009_005_AP,no,,18,
Switch,3,65,3S1,,,,,,,,,not imaged
Switch,3,66,3S2,,,,,,,,,not imaged
Switch,3,67,3S3,,,,,,,,,not imaged
Switch,3,68,3S4,,,,,,,,,not imaged
Switch,4,69,4S1,2010-10-14,WAM,2011-06-02,AP,EF2010_T097_L003_2010.10.14_095015_005_WAM,no,,14,
Switch,4,70,4S2,2010-10-14,WAM,2011-06-03,AP,EF2010_T097_L003_2010.10.14_095015_005_WAM,no,,12,
Switch,4,71,4S3,2010-10-14,WAM,2011-06-03,AP,EF2010_T097_L003_2010.10.14_095015_005_WAM,no,,19,
Switch,4,72,4S4,2010-10-14,WAM,2011-06-03,AP,EF2010_T097_L003_2010.10.14_095015_005_WAM,no,,12,
Prairie,0,73,0P2,2010-10-14,WAM,2011-11-07,AP,EF2010_T097_L003_2010.10.14_095015_005_WAM,no,,12,
Prairie,0,74,0P3,2010-10-14,WAM,2011-11-07,AP,EF2010_T097_L003_2010.10.14_095015_005_WAM,no,,10,
Prairie,0,75,0P5,2010-10-14,WAM,2011-11-07,AP,EF2010_T097_L003_2010.10.14_095015_005_WAM,no,,16,
Prairie,0,76,0P6,2010-10-14,WAM,2011-11-07,AP,EF2010_T097_L003_2010.10.14_095015_005_WAM,no,,13,
Prairie,0,77,0P7,2010-10-14,WAM,2011-11-07,AP,EF2010_T097_L003_2010.10.14_095015_005_WAM,no,,18,
Prairie,0,78,0P9,2010-10-14,WAM,2011-11-07,AP,EF2010_T097_L003_2010.10.14_095015_005_WAM,no,,15,
Prairie,0,79,0P11,2010-10-14,WAM,2011-11-07,AP,EF2010_T097_L003_2010.10.14_095015_005_WAM,no,,10,
Prairie,0,80,0P12,2010-10-14,WAM,2011-11-07,AP,EF2010_T097_L003_2010.10.14_095015_005_WAM,no,,17,
Prairie,1,81,1P1,2010-10-07,AP,2011-06-02,AP,EF2010_T097_L001_2010.10.07_085009_005_AP,yes,,7,10 is blurry
Prairie,1,82,1P2,2010-10-07,AP,2011-06-02,AP,EF2010_T097_L001_2010.10.07_085009_005_AP,no,,16,
Prairie,1,83,1P3,2010-10-07,AP,2011-06-02,AP,EF2010_T097_L001_2010.10.07_085009_005_AP,no,,14,
Prairie,1,84,1P4,2010-10-07,AP,2011-06-02,AP,EF2010_T097_L001_2010.10.07_085009_005_AP,yes,,13,25 is blurry
Prairie,2,85,2P1,2010-10-07,AP,2011-06-02,AP,EF2010_T097_L001_2010.10.07_085009_005_AP,no,,10,
Prairie,2,86,2P2,2010-10-07,AP,2011-06-02,AP,EF2010_T097_L001_2010.10.07_085009_005_AP,no,,8,
Prairie,2,87,2P3,2010-10-07,AP,2011-06-02,AP,EF2010_T097_L001_2010.10.07_085009_005_AP,no,,16,
Prairie,2,88,2P4,2010-10-07,AP,2011-06-02,AP,EF2010_T097_L001_2010.10.07_085009_005_AP,no,,12,
Prairie,3,89,3P1,2010-10-14,WAM,2011-06-03,AP,EF2010_T097_L003_2010.10.14_095015_005_WAM,no,,13,
Prairie,3,90,3P2,2010-10-14,WAM,2011-06-03,AP,EF2010_T097_L003_2010.10.14_095015_005_WAM,no,,11,
Prairie,3,91,3P3,2010-10-08,AP ,2011-06-03,AP,EF2010_T097_L002_2010.10.08_091343_005_AP,no,,10,
Prairie,3,92,3P4,2010-10-14,WAM,2011-06-03,AP,EF2010_T097_L003_2010.10.14_095015_005_WAM,no,,10,
Prairie,4,93,4P1,2010-10-14,WAM,2011-06-15,AP,EF2010_T097_L003_2010.10.14_095015_005_WAM,no,,16,
Prairie,4,94,4P2,2010-10-14,WAM,2011-06-15,AP,EF2010_T097_L003_2010.10.14_095015_005_WAM,no,,17,
Prairie,4,95,4P3,2010-10-14,WAM,2011-06-15,AP,EF2010_T097_L003_2010.10.14_095015_005_WAM,no,,17,
Prairie,4,96,4P4,2010-10-14,WAM,2011-06-15,AP,EF2010_T097_L003_2010.10.14_095015_005_WAM,no,,15,