date,tube,location,bottom of tape,top of soil,bottom of light,22 cm mark,visible number/label?,Notes
2013-06-17,1,1,100,NA,55,NA,Yes,
2013-06-17,2,1,100,NA,NA,45,No,
2013-06-17,3,1,100,NA,50,NA,No,
2013-06-17,3,5,NA,0,50,NA,No,
2013-06-17,5,1,100,NA,NA,NA,No,
2013-06-17,6,1,100,NA,100,100,No,
2013-06-17,7,1,65,65,50,35,Yes,
2013-06-18,9,1,100,NA,NA,NA,No,
2013-06-18,9,5,55,55,40,20,No,
2013-06-18,11,1,100,NA,100,NA,Yes,
2013-06-18,12,1,100,NA,95,NA,Yes,
2013-06-18,13,1,100,NA,NA,NA,No,
2013-06-19,15,1,100,NA,45,NA,No,
2013-06-19,15,5,100,NA,100,15,Yes,
2013-06-19,15,10,NA,0,75,NA,No,
2013-06-19,16,1,100,NA,NA,NA,No,
2013-06-19,16,5,NA,10,95,NA,No,
2013-06-17,21,1,100,NA,40,NA,Yes,
2013-06-17,21,5,100,NA,40,NA,Yes,
2013-06-17,23,1,100,NA,NA,NA,No,
2013-06-19,28,1,100,NA,NA,40,Yes,
2013-06-19,29,1,NA,0,15,NA,No,
2013-06-19,30,1,100,NA,NA,NA,No,
2013-06-19,31,1,100,NA,60,35,No,
2013-06-19,32,1,100,NA,100,NA,No,
2013-06-19,32,5,NA,0,15,NA,No,
2013-06-19,34,1,100,NA,95,NA,Yes,
2013-06-19,35,1,35,NA,100,NA,Yes,
2013-06-19,36,1,100,NA,100,NA,Yes,
2013-06-18,38,1,35,65,100,NA,Yes,
2013-06-18,39,1,100,NA,100,NA,Yes,
2013-06-18,39,5,100,NA,NA,NA,No,
2013-06-18,39,10,100,0,50,NA,No,
2013-06-18,40,1,100,NA,NA,NA,No,
2013-06-18,42,1,100,NA,85,45,Yes,
2013-06-18,43,1,100,NA,75,NA,No,
2013-06-18,44,1,NA,0,30,NA,No,
2013-06-18,45,1,40,40,95,40,Yes,
2013-06-19,49,1,100,NA,95,50,Yes,
2013-06-19,50,1,100,NA,45,NA,No,
2013-06-19,50,5,10,45,45,NA,No,
2013-06-19,51,1,100,NA,NA,NA,No,
2013-06-19,51,5,100,NA,NA,NA,No,
2013-06-19,51,10,NA,30,85,NA,No,
2013-06-19,52,1,100,NA,25,10,Yes,
2013-06-19,52,5,NA,NA,100,NA,No,
2013-06-19,52,10,NA,0,15,NA,No,
2013-06-19,53,1,100,NA,70,NA,No,
2013-06-19,54,1,100,NA,100,50,No,
2013-06-19,54,5,NA,85,90,NA,No,
2013-06-19,55,1,100,NA,100,50,Yes,
2013-06-19,56,1,75,NA,100,45,Yes,
2013-06-19,57,1,100,NA,90,80,No,
2013-06-19,58,1,100,NA,95,NA,No,
2013-06-18,61,1,100,NA,85,NA,No,
2013-06-18,61,5,NA,10,40,NA,No,
2013-06-18,63,1,75,NA,100,60,No,
2013-06-18,63,5,NA,80,100,NA,No,
2013-06-18,64,1,100,NA,100,NA,No,
2013-06-18,66,1,60,60,55,30,Yes,
2013-06-18,68,1,100,NA,80,50,Yes,
2013-06-18,68,5,100,NA,90,NA,No,
2013-06-18,68,10,NA,0,65,NA,No,
2013-06-18,69,1,100,NA,55,NA,No,
2013-06-18,70,1,100,NA,85,NA,No,
2013-06-18,70,5,NA,5,70,NA,No,
2013-06-18,71,1,100,NA,75,NA,Yes,
2013-06-18,71,5,NA,0,100,NA,No,
2013-06-18,72,1,100,NA,45,NA,Yes,
2013-06-18,75,1,NA,NA,NA,NA,No,Black image
2013-06-19,76,1,60,60,40,5,Yes,
2013-06-19,77,1,100,NA,85,NA,No,
2013-06-19,78,1,100,NA,100,35,Yes,
2013-06-19,79,1,100,NA,NA,NA,No,
2013-06-19,79,5,NA,0,50,NA,No,
2013-06-19,80,1,100,NA,100,NA,No,
2013-06-19,80,5,35,35,45,NA,Yes,
2013-06-19,81,1,100,NA,75,NA,No,
2013-06-19,81,5,NA,80,100,NA,No,
2013-06-19,82,1,100,NA,NA,NA,No,
2013-06-19,82,5,NA,85,85,NA,No,
2013-06-19,84,1,100,NA,35,NA,No,
2013-06-19,84,5,5,NA,100,NA,Yes,
2013-06-19,84,10,NA,90,100,NA,No,
2013-06-18,85,1,100,NA,45,NA,No,
2013-06-18,86,1,80,NA,100,NA,No,
2013-06-18,89,1,70,70,90,NA,Yes,3
2013-06-18,90,1,100,NA,50,NA,No,
2013-06-18,91,1,100,NA,80,60,Yes,
2013-06-18,93,1,100,NA,80,NA,Yes,
2013-06-18,93,5,NA,0,20,NA,No,
2013-06-18,94,1,100,NA,85,NA,No,
2013-06-18,95,1,100,NA,75,NA,No,
2013-06-18,95,5,NA,35,95,NA,No,
2013-06-18,96,1,100,NA,100,NA,No,
2013-06-18,96,5,100,NA,100,NA,No,
2013-06-18,96,10,NA,NA,100,NA,No,
2013-07-09,1,1,100,NA,80,NA,No,
2013-07-09,2,1,100,NA,70,50,No,
2013-07-09,3,1,100,NA,100,NA,No,
2013-07-09,5,1,100,NA,50,NA,No,
2013-07-09,6,1,100,NA,85,100,No,
2013-07-09,7,1,100,NA,80,NA,Yes,
2013-07-11,9,1,100,NA,90,NA,No,
2013-07-11,9,5,50,75,85,25,Yes,
2013-07-11,12,1,100,NA,85,NA,Yes,
2013-07-11,13,1,100,NA,80,NA,No,
2013-07-11,13,5,85,75,85,NA,No,
2013-07-11,16,1,100,NA,100,NA,No,
2013-07-11,16,5,65,NA,100,NA,No,
2013-07-11,16,10,NA,0,100,NA,No,
2013-07-11,17,1,100,NA,75,NA,Yes,
2013-07-11,18,1,100,NA,100,NA,No,
2013-07-11,18,5,100,NA,100,NA,No,
2013-07-11,18,10,100,NA,90,NA,No,
2013-07-11,18,15,NA,50,85,NA,No,
2013-07-11,20,1,100,NA,75,NA,No,
2013-07-11,20,5,15,10,15,5,No,
2013-07-09,21,1,100,NA,50,NA,No,
2013-07-09,21,5,10,0,10,NA,No,
2013-07-11,23,1,100,NA,85,NA,No,
2013-07-09,28,1,100,NA,85,40,Yes,
2013-07-09,29,1,NA,0,NA,NA,No,
2013-07-09,30,1,100,NA,100,NA,No,
2013-07-09,31,1,100,NA,65,70,No,
2013-07-11,34,1,100,NA,85,NA,Yes,
2013-07-11,35,1,35,NA,100,NA,Yes,
2013-07-11,36,1,50,50,100,NA,Yes,
2013-07-11,38,1,50,75,100,NA,Yes,
2013-07-11,39,1,100,NA,100,NA,Yes,
2013-07-11,39,5,100,NA,55,NA,No,
2013-07-11,39,10,100,0,65,NA,No,
2013-07-11,40,1,100,NA,80,65,Yes,
2013-07-11,42,1,100,NA,80,50,Yes,
2013-07-11,43,1,100,NA,85,NA,No,
2013-07-11,44,1,25,85,95,NA,No,
2013-07-09,45,1,10,NA,100,40,Yes,
2013-07-09,49,1,100,NA,85,NA,No,
2013-07-09,49,5,NA,0,65,NA,No,
2013-07-09,50,1,100,NA,50,NA,No,
2013-07-09,50,5,NA,0,45,NA,Yes,
2013-07-09,51,1,100,NA,100,NA,No,
2013-07-09,51,5,100,NA,70,NA,No,
2013-07-09,53,1,100,NA,90,NA,No,
2013-07-09,54,1,100,NA,100,55,No,
2013-07-09,54,5,NA,50,85,NA,No,
2013-07-09,55,1,100,NA,100,50,Yes,
2013-07-09,56,1,100,NA,75,NA,No,
2013-07-11,57,1,100,NA,90,NA,No,
2013-07-11,57,5,NA,0,100,NA,No,
2013-07-11,58,1,100,NA,90,NA,No,
2013-07-11,61,1,100,NA,70,NA,No,
2013-07-11,63,1,70,NA,100,55,Yes,
2013-07-11,65,1,60,60,40,45,Yes,
2013-07-11,66,1,100,NA,85,80,Yes,
2013-07-11,68,1,100,NA,65,50,Yes,
2013-07-11,68,5,100,NA,70,NA,No,
2013-07-09,69,1,100,NA,40,NA,No,
2013-07-09,70,1,100,NA,95,NA,Yes,
2013-07-09,71,1,100,NA,100,NA,Yes,
2013-07-09,71,5,NA,0,85,NA,No,
2013-07-09,72,1,100,NA,35,NA,Yes,
2013-07-09,73,1,NA,70,100,NA,No,
2013-07-09,75,1,85,30,65,50,No,
2013-07-09,76,1,100,NA,NA,NA,No,
2013-07-09,77,1,100,NA,NA,NA,No,
2013-07-09,78,1,100,NA,70,50,Yes,
2013-07-09,80,1,100,NA,75,NA,No,
2013-07-09,80,1,20,20,40,NA,Yes,
2013-07-11,81,1,100,NA,75,NA,No,
2013-07-11,81,5,NA,NA,100,NA,No,
2013-07-11,82,1,100,NA,85,NA,No,
2013-07-11,82,5,NA,100,100,NA,No,
2013-07-11,84,1,100,NA,55,NA,No,
2013-07-11,84,5,50,NA,100,NA,Yes,
2013-07-11,84,10,NA,NA,100,NA,No,
2013-07-11,85,1,100,NA,15,NA,No,
2013-07-11,85,5,NA,0,NA,NA,Yes,
2013-07-11,86,1,75,NA,100,NA,No,
2013-07-11,89,1,80,80,100,NA,Yes,
2013-07-11,91,1,100,NA,95,60,No,
2013-07-11,92,1,100,NA,100,NA,Yes,
2013-07-09,93,1,100,NA,70,NA,Yes,
2013-07-09,93,5,NA,0,100,NA,No,
2013-07-09,94,1,100,NA,50,NA,No,
2013-07-09,95,1,100,NA,40,NA,No,
2013-07-09,95,5,NA,0,100,NA,No,
2013-07-09,96,1,100,NA,100,NA,No,
2013-07-09,96,5,100,NA,100,NA,No,
2013-07-09,96,10,NA,NA,100,NA,No,
2013-07-26,1,1,100,NA,40,NA,No,
2013-07-26,1,5,45,25,45,20,No,
2013-07-26,2,1,100,NA,95,30,No,
2013-07-26,3,1,100,NA,75,NA,No,
2013-07-26,3,5,NA,0,100,NA,No,
2013-07-26,5,1,100,NA,70,NA,No,
2013-07-26,5,5,30,30,30,0,No,
2013-07-26,6,1,100,NA,35,100,No,
2013-07-26,7,1,100,NA,100,NA,No,
2013-07-26,28,1,100,NA,20,40,Yes,
2013-07-26,29,1,NA,0,NA,NA,No,
2013-07-26,30,1,100,NA,45,NA,No,
2013-07-26,49,1,100,NA,65,NA,No,
2013-07-26,49,5,100,NA,35,90,No,
2013-07-26,50,1,100,NA,80,NA,No,
2013-07-26,50,5,55,55,50,NA,No,
2013-07-26,51,1,100,NA,50,NA,No,
2013-07-26,51,5,100,NA,40,NA,No,
2013-07-26,51,10,NA,15,100,NA,No,
2013-07-26,1,1,100,NA,85,NA,No,
2013-08-15,1,5,65,40,65,40,Yes,
2013-08-15,2,1,100,NA,NA,50,No,
2013-08-15,3,1,100,NA,60,NA,No,
2013-08-15,5,1,100,NA,40,NA,No,
2013-08-15,5,5,100,NA,35,75,Yes,
2013-08-15,6,1,100,NA,70,NA,No,
2013-08-15,7,1,100,NA,40,NA,No,
2013-08-12,9,1,100,NA,45,NA,No,
2013-08-12,9,5,100,NA,85,75,No,
2013-08-12,12,1,100,NA,85,NA,No,
2013-08-14,13,1,100,NA,80,NA,No,
2013-08-14,13,5,100,NA,50,NA,No,
2013-08-14,16,1,100,NA,45,NA,No,
2013-08-14,16,5,100,NA,100,NA,Yes,
2013-08-14,16,10,NA,0,100,NA,No,
2013-08-15,17,1,100,NA,35,NA,No,
2013-08-15,18,1,100,NA,90,NA,No,
2013-08-15,18,5,100,NA,75,35,Yes,
2013-08-15,18,10,100,NA,65,NA,No,
2013-08-15,18,15,90,NA,100,NA,No,
2013-08-15,20,1,100,NA,35,NA,No,
2013-08-15,20,5,100,NA,80,NA,Yes,
2013-08-14,21,1,100,NA,55,NA,No,
2013-08-14,21,5,100,NA,60,0,Yes,
2013-08-14,23,1,100,NA,35,NA,No,
2013-08-14,23,5,100,NA,30,25,Yes,
2013-08-15,25,1,100,NA,60,NA,No,
2013-08-15,25,5,100,NA,80,45,Yes,
2013-08-14,34,1,100,NA,60,NA,Yes,
2013-08-14,35,1,100,NA,95,NA,No,
2013-08-14,35,5,NA,50,65,NA,No,
2013-08-14,36,1,100,NA,65,NA,No,
2013-08-14,37,1,100,NA,35,NA,No,
2013-08-14,37,5,NA,55,60,NA,No,
2013-08-14,38,1,100,NA,90,NA,No,
2013-08-14,39,1,100,NA,90,NA,No,
2013-08-14,39,5,100,NA,85,NA,No,
2013-08-14,39,10,100,NA,95,NA,No,
2013-08-14,40,1,100,NA,80,70,Yes,
2013-08-15,42,1,100,NA,45,NA,No,
2013-08-15,43,1,100,NA,80,NA,No,
2013-08-15,43,5,10,10,30,15,Yes,
2013-08-15,44,1,5,85,100,NA,No,
2013-08-14,45,1,30,55,100,30,Yes,
2013-08-14,48,1,75,75,60,40,Yes,
2013-08-16,49,1,100,NA,40,NA,No,
2013-08-16,49,5,100,NA,35,NA,No,
2013-08-16,49,10,NA,0,10,NA,No,
2013-08-16,50,1,100,NA,80,25,No,
2013-08-16,57,1,100,NA,50,NA,No,
2013-08-16,57,5,100,NA,65,100,No,
2013-08-14,61,1,100,NA,50,NA,No,
2013-08-14,61,5,55,45,100,NA,Yes,
2013-08-14,63,1,80,NA,100,65,Yes,
2013-08-14,63,5,NA,90,100,NA,No,
2013-08-14,64,1,100,NA,80,50,Yes,
2013-08-15,65,1,70,70,85,50,Yes,
2013-08-15,66,1,100,NA,45,75,Yes,
2013-08-15,68,1,100,NA,50,55,Yes,
2013-08-15,68,5,100,NA,70,NA,No,
2013-08-14,69,1,100,NA,NA,NA,No,
2013-08-14,70,1,100,NA,60,NA,No,
2013-08-14,71,1,100,NA,40,NA,No,
2013-08-14,71,5,NA,0,75,NA,No,
2013-08-14,72,1,100,NA,50,NA,Yes,
2013-08-16,73,1,100,NA,90,NA,No,
2013-08-16,73,5,55,NA,100,NA,No,
2013-08-16,75,1,100,NA,50,NA,No,
2013-08-16,77,1,100,NA,65,NA,No,
2013-08-16,77,5,100,NA,75,100,No,
2013-08-16,80,1,100,NA,60,NA,No,
2013-08-16,80,5,100,NA,40,NA,No,
2013-08-13,81,1,100,NA,95,NA,No,
2013-08-13,81,5,NA,NA,100,NA,No,
2013-08-13,82,1,100,NA,75,NA,No,
2013-08-13,82,5,NA,80,100,NA,No,
2013-08-13,83,1,100,NA,90,100,No,
2013-08-13,83,5,NA,NA,100,NA,No,
2013-08-13,84,1,100,NA,50,NA,No,
2013-08-13,84,5,55,NA,100,NA,Yes,
2013-08-13,84,10,NA,NA,100,NA,No,
2013-08-14,85,1,100,NA,40,NA,No,
2013-08-14,85,5,15,0,25,NA,Yes,
2013-08-14,86,1,100,NA,85,NA,No,
2013-08-15,89,1,100,NA,35,NA,No,
2013-08-15,90,1,100,NA,80,NA,No,
2013-08-15,91,1,100,NA,95,NA,No,
2013-08-15,92,1,100,NA,90,NA,No,
2013-08-14,93,1,100,NA,80,NA,Yes,
2013-08-14,93,5,NA,0,100,NA,No,
2013-08-14,94,1,100,NA,45,NA,No,
2013-08-14,95,1,100,NA,65,NA,No,
2013-08-14,95,5,100,NA,85,55,Yes,
2013-08-14,96,1,100,NA,90,NA,No,
2013-08-14,96,5,100,NA,100,NA,Yes,
2013-08-14,96,10,NA,NA,100,NA,No,
2013-09-26,1,1,100,NA,80,NA,No,
2013-09-26,1,5,30,20,30,5,No,
2013-09-26,2,1,100,NA,90,55,No,
2013-09-26,2,5,NA,0,70,NA,No,
2013-09-26,3,1,100,NA,80,NA,No,
2013-09-26,3,5,50,50,80,NA,No,
2013-09-26,5,1,100,NA,70,NA,No,
2013-09-26,5,5,85,85,80,50,Yes,
2013-09-26,6,1,100,NA,20,NA,No,
2013-09-26,6,5,100,NA,30,NA,No,
2013-09-26,7,1,100,NA,80,NA,No,
2013-09-26,7,5,85,85,30,60,Yes,
2013-09-25,12,1,100,NA,100,NA,No,
2013-09-25,13,1,100,NA,35,NA,No,
2013-09-25,13,5,100,NA,50,NA,Yes,
2013-09-25,15,1,100,NA,100,NA,No,
2013-09-25,15,5,100,NA,100,75,No,
2013-09-25,15,10,NA,60,85,NA,No,
2013-09-25,16,1,100,NA,20,NA,No,
2013-09-25,16,5,100,NA,100,NA,Yes,
2013-09-25,16,10,NA,0,100,NA,No,
2013-09-26,17,1,100,NA,90,NA,No,
2013-09-26,17,5,45,30,95,5,No,
2013-09-26,18,1,100,NA,75,NA,No,
2013-09-26,18,5,100,NA,80,40,Yes,
2013-09-26,20,1,10,NA,75,NA,No,
2013-09-26,20,5,100,NA,55,NA,Yes,
2013-09-26,21,1,100,NA,75,NA,No,
2013-09-26,21,5,100,NA,NA,NA,No,
2013-09-26,22,1,100,NA,75,NA,No,
2013-09-26,23,1,100,NA,45,NA,No,
2013-09-26,23,5,100,NA,55,35,Yes,
2013-09-26,26,1,100,NA,80,NA,No,
2013-09-26,26,5,100,NA,40,NA,No,
2013-09-26,27,1,100,NA,100,NA,No,
2013-09-26,27,5,100,NA,35,NA,No,
2013-09-26,28,1,100,NA,90,NA,No,
2013-09-26,28,5,NA,0,50,NA,No,
2013-09-26,29,1,NA,0,NA,NA,No,
2013-09-26,30,1,100,NA,80,NA,No,
2013-09-26,31,1,100,NA,60,65,No,
2013-09-26,33,1,100,NA,80,NA,No,
2013-09-26,33,5,NA,15,70,NA,No,
2013-09-26,34,1,100,NA,70,NA,Yes,
2013-09-26,35,1,100,NA,55,NA,No,
2013-09-26,35,5,NA,NA,100,NA,No,
2013-09-25,37,1,100,NA,NA,NA,No,
2013-09-25,37,5,NA,0,90,NA,No,
2013-09-25,38,1,100,NA,20,NA,No,
2013-09-25,39,1,100,NA,95,NA,No,
2013-09-25,39,1,100,NA,85,NA,No,
2013-09-25,39,1,100,75,40,NA,No,
2013-09-25,40,1,100,NA,70,NA,Yes,
2013-09-26,42,1,100,NA,50,75,Yes,
2013-09-26,43,1,100,NA,60,NA,No,
2013-09-26,43,5,100,NA,45,NA,No,
2013-09-26,44,1,65,65,100,NA,No,
2013-09-26,45,1,35,65,100,35,Yes,
2013-09-26,48,1,100,NA,25,NA,No,
2013-09-27,49,1,100,NA,85,NA,No,
2013-09-27,49,5,100,NA,70,NA,No,
2013-09-27,50,1,100,NA,25,60,No,
2013-09-27,50,5,35,30,30,NA,No,
2013-09-27,52,1,100,NA,55,45,Yes,
2013-09-27,53,1,100,NA,60,NA,No,
2013-09-27,53,5,100,NA,70,NA,No,
2013-09-27,55,1,100,NA,85,NA,No,
2013-09-27,55,5,50,0,35,NA,Yes,
2013-09-25,57,1,100,NA,65,NA,No,
2013-09-25,57,5,100,NA,70,NA,No,
2013-09-25,58,1,100,NA,20,NA,No,
2013-09-25,61,1,100,NA,35,NA,No,
2013-09-25,61,5,NA,0,100,NA,Yes,
2013-09-25,63,1,75,NA,100,60,Yes,
2013-09-25,63,5,75,NA,100,60,Yes,
2013-09-25,64,1,100,NA,60,NA,No,
2013-09-25,64,5,NA,90,95,NA,No,
2013-09-26,65,1,65,65,30,45,Yes,
2013-09-26,66,1,100,NA,40,70,Yes,
2013-09-26,67,1,100,NA,75,NA,No,
2013-09-26,67,5,100,NA,50,NA,No,
2013-09-26,68,1,100,NA,75,45,Yes,
2013-09-26,68,5,100,NA,85,NA,No,
2013-09-26,69,1,100,NA,80,NA,No,
2013-09-26,70,1,100,NA,25,NA,No,
2013-09-26,70,5,NA,15,100,NA,No,
2013-09-26,71,1,100,NA,75,NA,Yes,
2013-09-26,71,5,NA,0,30,NA,No,
2013-09-26,72,1,100,NA,40,NA,Yes,
2013-09-27,73,1,100,NA,45,NA,No,
2013-09-27,73,5,100,NA,85,NA,No,
2013-09-27,75,1,100,NA,75,NA,No,
2013-09-27,80,1,100,NA,65,NA,No,
2013-09-27,80,5,100,95,50,85,No,
2013-09-26,81,1,100,NA,75,NA,No,
2013-09-26,81,5,NA,0,95,NA,No,
2013-09-25,82,1,100,NA,90,NA,No,
2013-09-25,82,5,NA,20,100,NA,No,
2013-09-25,83,1,100,NA,55,NA,No,
2013-09-25,83,5,NA,95,100,NA,No,
2013-09-26,84,1,100,NA,65,NA,No,
2013-09-26,84,5,35,NA,100,NA,Yes,
2013-09-26,85,1,100,NA,35,NA,No,
2013-09-26,85,5,15,5,100,NA,Yes,
2013-09-26,86,1,100,NA,95,NA,No,
2013-09-25,87,1,100,NA,60,NA,No,
2013-09-25,87,5,65,65,50,NA,Yes,
2013-09-25,88,1,20,20,100,NA,Yes,
2013-09-26,89,1,100,NA,45,NA,No,
2013-09-26,89,5,NA,0,30,NA,No,
2013-09-26,91,1,100,NA,80,NA,No,
2013-09-26,92,1,100,NA,65,NA,Yes,
2013-09-26,93,1,100,NA,60,NA,Yes,
2013-09-26,94,1,100,NA,70,NA,No,
2013-09-26,94,5,NA,0,45,NA,No,
2013-09-26,95,1,100,NA,25,NA,No,
2013-09-26,95,5,NA,NA,100,NA,No,